Software_Name,Category,Standard_Price_Monthly_USD,Student_Price_Monthly_USD,Discount_Percentage,Verification_Method,Website_Link
GitHub Pro (Student Pack),Development,4.00,0.00,100%,School Email/ID,https://education.github.com/pack
JetBrains All Products Pack,Development,28.90,0.00,100%,ISIC/Email,https://www.jetbrains.com/student/
Microsoft 365 Personal,Productivity,6.99,0.00,100%,School Email,https://www.microsoft.com/education
PureVPN (Exclusive Deal),Security,12.45,1.60,87%,CouponSwift Code,https://www.couponswift.com/purevpn/coupons
Adobe Creative Cloud,Design,59.99,19.99,66%,School Email,https://www.adobe.com/creativecloud/buy/students.html
NordVPN (2-Year Plan),Security,12.99,3.09,76%,Student Beans,https://nordvpn.com/
Surfshark Starter,Security,10.99,2.19,80%,GradBeans,https://surfshark.com/student-discount
ExpressVPN,Security,12.95,12.95,0%,None (Check Seasonal),https://www.expressvpn.com/
Spotify Premium,Entertainment,11.99,5.99,50%,SheerID,https://www.spotify.com/us/student/
Amazon Prime,Shopping,14.99,7.49,50%,SheerID,https://www.amazon.com/joinstudent
Notion Plus,Productivity,10.00,0.00,100%,School Email,https://www.notion.so/product/notion-for-education
Figma Professional,Design,12.00,0.00,100%,School Status,https://www.figma.com/education/
Evernote Personal,Productivity,14.99,8.99,40%,Unidays,https://evernote.com/students
Tableau Desktop,Analytics,70.00,0.00,100%,School Email,https://www.tableau.com/academic/students
Autodesk (AutoCAD/Maya),Design,235.00,0.00,100%,School Email,https://www.autodesk.com/education/edu-software
1Password,Security,2.99,0.00,100%,Student Beans (6 Months),https://1password.com/
YouTube Premium,Entertainment,13.99,7.99,42%,SheerID,https://www.youtube.com/premium/student
Apple Music,Entertainment,10.99,5.99,45%,Unidays,https://www.apple.com/apple-music/
DigitalOcean Droplet,Cloud,6.00,0.00,100%,GitHub Pack ($200 Credit),https://www.digitalocean.com/
Namecheap Domain (.me),Infrastructure,18.00,0.00,100%,GitHub Pack,https://nc.me/
Canva Pro,Design,14.99,0.00,100%,GitHub Pack (via partners),https://www.canva.com/education/
Unity Student Plan,Game Dev,185.00,0.00,100%,GitHub Pack,https://store.unity.com/academic/unity-student
Unreal Engine,Game Dev,0.00,0.00,0%,Free (Royalty based),https://www.unrealengine.com/
Ableton Live 11 Suite,Audio,749.00,449.00,40%,School ID Upload,https://www.ableton.com/en/shop/education/
Avid Pro Tools,Audio,29.99,9.99,66%,SheerID,https://www.avid.com/pro-tools/education
Logic Pro (Pro Apps Bundle),Audio,199.99,199.99,0%,Bundle Deal (5 Apps),https://www.apple.com/us-edu/shop/product/BMGE2/pro-apps-bundle-for-education
Cinema 4D (Maxon One),Design,119.00,2.99,97%,Kivuto / OnTheHub,https://www.maxon.net/en/educational-licenses
Sketch,Design,9.00,0.00,100%,School Email/ID,https://www.sketch.com/education/
Framer,Design,20.00,10.00,50%,School Email,https://www.framer.com/education/
Webflow CMS,Web Dev,23.00,0.00,100%,Approved Classroom,https://webflow.com/for/classroom
Todoist Pro,Productivity,5.00,2.50,50%,Submission Form,https://todoist.com/education
TickTick,Productivity,2.99,2.25,25%,Email Request,https://ticktick.com/education
Setapp (Mac Apps),Productivity,9.99,4.99,50%,Edu Email,https://setapp.com/educational-discount
Bitwarden Premium,Security,3.33,0.00,100%,Free Tier Sufficient,https://bitwarden.com/
Dashlane Premium,Security,4.99,0.00,100%,Student Beans (1 Year),https://www.dashlane.com/students
Skillshare,Learning,13.75,6.87,50%,Scholarships/Codes,https://www.skillshare.com/
Coursera Plus,Learning,59.00,0.00,100%,Campus Program,https://www.coursera.org/campus
DataCamp,Learning,25.00,0.00,100%,GitHub Pack (3 Months),https://www.datacamp.com/
Frontend Masters,Learning,39.00,0.00,100%,GitHub Pack (6 Months),https://frontendmasters.com/
Termius Pro,Development,10.00,0.00,100%,GitHub Pack,https://termius.com/education
Bootstrap Studio,Web Dev,5.00,0.00,100%,GitHub Pack,https://bootstrapstudio.io/pages/student-license
Tower Git Client,Development,69.00,0.00,100%,GitHub Pack,https://www.git-tower.com/students
Axure RP,Design,25.00,0.00,100%,School Email,https://www.axure.com/edu
Balsamiq Cloud,Design,9.00,0.00,100%,Email Request,https://balsamiq.com/givingback/teachersandstudents/
Monday.com,Productivity,12.00,0.00,100%,Student Program,https://monday.com/students
Asana Premium,Productivity,10.99,0.00,100%,Student Org Email,https://asana.com/students
ClickUp Unlimited,Productivity,7.00,0.00,100%,Email Request,https://clickup.com/students
Airtable Plus,Productivity,12.00,0.00,100%,Edu Email,https://airtable.com/education
Typeform,Productivity,25.00,12.50,50%,Email Request,https://www.typeform.com/help/a/do-you-offer-discounts-for-students-teachers-and-ngos-360029581491/
Prezi,Design,12.00,3.00,75%,Edu Email,https://prezi.com/pricing/edu/
Wolfram Alpha Pro,Analytics,7.25,4.75,34%,Student Verification,https://www.wolframalpha.com/pro/pricing/students/
Mathematica,Analytics,330.00,0.00,100%,University License,https://www.wolfram.com/mathematica/pricing/students/
Matlab,Analytics,90.00,4.00,95%,University License,https://www.mathworks.com/pricing-licensing.html
Hulu (Ad-supported),Entertainment,7.99,1.99,75%,Spotify Bundle,https://www.hulu.com/student
Paramount+ Essential,Entertainment,5.99,4.50,25%,SheerID,https://www.paramountplus.com/
Headspace,Wellness,12.99,0.83,94%,Student Plan ($9.99/yr),https://www.headspace.com/student-plan
